participant_id,condition,interest,load,created_at,t1_detergent,t1_smartwatch,t1_speaker,assigned_category,selected_product,t1_bottle,t1_toothbrush,t1_backpack
01caf55c-3693-4aa3-bac2-862230173a5e,LIHL,Low,High,2026-01-04 15:03:49.22322+00,5,4,2,Backpack,DB Daypack,1,3,1
01f97700-9c92-4464-9bf8-21132acaa881,LILL,Low,Low,2025-12-30 13:40:09.906267+00,1,5,2,Electric Toothbrush,Oral-B Pro Series 3 (3500),3,1,3
05bcca80-e838-4ef3-8ba8-39e870310e8f,HILL,High,Low,2025-12-30 19:28:33.512238+00,1,3,4,Water Bottle,24 Bottles - Clima Bottle,5,4,5
09836b97-00f6-47f3-b9aa-c34ad5867121,LIHL,Low,High,2025-12-12 10:11:43.646162+00,1,4,4,Detergent,Ariel All-in-1 Pods,2,2,4
0c8e7770-1c3e-40d4-af3e-561d63ec9aa3,LIHL,Low,High,2025-12-23 10:46:44.031102+00,1,4,3,Water Bottle,720° DGREE noLimit Bottle,1,1,2
10bcc14f-7fd9-4646-80bc-7eff4d2e1097,LILL,Low,Low,2025-12-18 19:31:12.714337+00,2,4,3,Water Bottle,Nalgene Water Bottle,2,2,3
10e43c6b-430c-47be-8c7e-acfe0fe439b5,HILL,High,Low,2025-12-19 09:08:13.739759+00,1,4,4,Smartwatch,Apple Watch Series 11,3,3,2
15b9dd42-a1f4-43d2-a040-9bfa65d63082,HIHL,High,High,2026-01-04 08:42:59.026059+00,2,4,5,Speaker,Sonos Era 100,1,5,5
1826a545-f6f3-47b9-a091-81477ba89250,LILL,Low,Low,2025-12-02 14:17:33.718725+00,2,4,4,Water Bottle,Waterdrop All-Purpose Sport Bottle,2,3,4
21e9b22a-8b1c-4ce7-ab1e-b805e86aaf46,LIHL,Low,High,2025-12-04 14:24:06.880593+00,1,5,2,Backpack,Kapten & Son Helsinki Pro,1,2,1
23242b4f-c591-42a9-98cd-e26b42ba18ad,LIHL,Low,High,2025-12-02 16:01:03.288525+00,2,4,4,Detergent,Denk mit – Ultra Sensitive,3,2,4
241ca21f-0214-47fa-933c-b2c656f1819d,LIHL,Low,High,2025-12-09 13:03:09.215946+00,3,3,5,Backpack,Patagonia Black Hole Micro,2,4,2
2a788a65-9288-433d-8ecb-788fe69b57cd,HILL,High,Low,2025-12-08 12:28:02.770817+00,2,4,3,Electric Toothbrush,Oral-B iO Series 5,3,4,4
2b5fd31a-dc2d-4c05-95ff-75759c2649bf,LILL,Low,Low,2026-01-04 15:33:07.220536+00,1,5,4,Detergent,Weißer Riese,4,3,4
2c25fe81-e77f-42e9-a479-03b5afe3458f,LILL,Low,Low,2025-12-23 10:13:59.297173+00,2,3,4,Detergent,Denk mit – Ultra Sensitive,3,2,4
2dc94996-ea7a-44cc-be3b-0bbd7ec42803,HILL,High,Low,2025-12-03 10:32:23.73558+00,4,3,5,Water Bottle,Spottle Glass Bottle,5,3,3
2f307df5-73a6-4ad9-95a1-c6498d36592c,LIHL,Low,High,2025-12-31 20:07:11.833523+00,2,3,4,Detergent,Denk mit – Ultra Sensitive,4,4,4
302cd5a0-6497-4343-9fd1-2ec4452aa871,LIHL,Low,High,2025-12-05 05:36:48.021215+00,1,4,3,Detergent,Weißer Riese,2,2,4
