participant_id,session_id,age,gender,education,employment,updated_at
01caf55c-3693-4aa3-bac2-862230173a5e,e9f90cc4-4355-4f0e-be34-cd7a61189a56,56,Female,A-Levels (Allgemeine Hochschulreife),Full-Time,2026-01-04 15:19:48.94473+00
01f97700-9c92-4464-9bf8-21132acaa881,5569e475-ec72-4081-8d77-1256c55e8779,25,Male,Bachelor's Degree,Working-Student / Temporary,2025-12-30 13:47:28.88858+00
05bcca80-e838-4ef3-8ba8-39e870310e8f,5b46de25-5e4a-4cf8-91bf-b2268c1321c0,25,Female,Bachelor's Degree,Working-Student / Temporary,2025-12-30 19:35:45.020397+00
09836b97-00f6-47f3-b9aa-c34ad5867121,7f5432ca-dc2e-4c30-8ecf-33ebe1e958b4,26,Male,Master's Degree,Full-Time,2025-12-12 10:17:08.700713+00
0c8e7770-1c3e-40d4-af3e-561d63ec9aa3,aed2659e-fc6e-4a03-9eea-7be2d281211b,26,Male,Master's Degree,Full-Time,2025-12-23 10:53:48.972927+00
10bcc14f-7fd9-4646-80bc-7eff4d2e1097,87927c15-49d0-4962-b182-ab5a768263a6,25,Male,Master's Degree,Full-Time,2025-12-18 19:39:21.838249+00
10e43c6b-430c-47be-8c7e-acfe0fe439b5,f4a35592-edb9-44d2-b455-a4c905170996,24,Male,Master's Degree,Working-Student / Temporary,2025-12-19 09:16:21.616279+00
125fe34e-d1f0-498a-8fd0-5d0cf21e030d,d6031e01-23c5-4d03-b64d-cc7b74e8f284,57,Male,Master's Degree,Full-Time,2026-01-08 16:24:55.016861+00
15b9dd42-a1f4-43d2-a040-9bfa65d63082,203e8e3b-4902-498a-b76b-9cf4d5e7f4b7,26,Male,Master's Degree,Full-Time,2026-01-04 08:51:10.759647+00
1826a545-f6f3-47b9-a091-81477ba89250,d7e74b75-65e8-4b6b-8587-86fa638e2473,24,Male,Bachelor's Degree,Working-Student / Temporary,2025-12-02 14:23:07.403482+00
