"participant_id","session_id","age","gender","education","employment","condition","interest","load","created_at","assigned_category","selected_product","PAAS_Score","PIES_AC","NRQ_ICL_Score","NRQ_ECL_Score","NRQ_Score","PIES_Score","ECM_CI_Score","ECM_S_Score","ECM_PU_Score","ECM_Score","total_hovertime_ms","n_hovers","mean_hovertime_ms","median_hovertime_ms","sd_hovertime_ms","total_hovertime_s","mean_hovertime_s","median_hovertime_s","sd_hovertime_s","n_events","submovements","trial_duration_ms","trial_duration_s","submovements_per_s","mean_submovement_deviation","total_distance_norm","max_velocity_norm_s","min_velocity_norm_s","mean_velocity_norm_s","std_velocity_norm_s","n_steps"
"01caf55c-3693-4aa3-bac2-862230173a5e","e9f90cc4-4355-4f0e-be34-cd7a61189a56",56,"Female","A-Levels (Allgemeine Hochschulreife)","Full-Time","LIHL","Low","High",2026-01-04 15:03:49.22322,"Backpack","DB Daypack",2,5,1.5,3,2.4,3.45454545454545,3,4,4,3.72727272727273,170272,57,2987.22807017544,1556,3643.94666838788,170.272,2.98722807017544,1.556,3.64394666838788,4890,67,195685,195.685,0.342386999514526,1.6389346854695,125.91760141197,51.8862067938118,0,0.638233222177407,2.93288690528567,4889
"01f97700-9c92-4464-9bf8-21132acaa881","5569e475-ec72-4081-8d77-1256c55e8779",25,"Male","Bachelor's Degree","Working-Student / Temporary","LILL","Low","Low",2025-12-30 13:40:09.906267,"Electric Toothbrush","Oral-B Pro Series 3 (3500)",4,5,2,4.33333333333333,3.4,2.81818181818182,7,7,5.5,6.45454545454545,63215,28,2257.67857142857,938,3138.03586899184,63.215,2.25767857142857,0.938,3.13803586899184,1424,39,68287,68.287,0.571118953827229,1.28027919996458,49.7593139181609,46.1651765453007,0,0.74514465643877,2.98519753291083,1423
"05bcca80-e838-4ef3-8ba8-39e870310e8f","5b46de25-5e4a-4cf8-91bf-b2268c1321c0",25,"Female","Bachelor's Degree","Working-Student / Temporary","HILL","High","Low",2025-12-30 19:28:33.512238,"Water Bottle","24 Bottles - Clima Bottle",2,5,2,2,2,4.09090909090909,7,7,7,7,35579,12,2964.91666666667,1225,3749.40078747945,35.579,2.96491666666667,1.225,3.74940078747945,1283,10,51365,51.365,0.194685096855836,1.99225769805658,26.9699578339974,56.3965764418129,0,0.526646408448154,2.9161343647212,1282
"09836b97-00f6-47f3-b9aa-c34ad5867121","7f5432ca-dc2e-4c30-8ecf-33ebe1e958b4",26,"Male","Master's Degree","Full-Time","LIHL","Low","High",2025-12-12 10:11:43.646162,"Detergent","Ariel All-in-1 Pods",6,5,2,5.33333333333333,4,3.45454545454545,6,5.25,3.25,4.72727272727273,45903,18,2550.16666666667,995,5253.01041140725,45.903,2.55016666666667,0.995,5.25301041140725,1035,21,48050,48.05,0.437044745057232,2.85242606045103,48.5165452003099,61.2075245089996,0,1.00392167889979,4.43861294386531,1034
"0c8e7770-1c3e-40d4-af3e-561d63ec9aa3","aed2659e-fc6e-4a03-9eea-7be2d281211b",26,"Male","Master's Degree","Full-Time","LIHL","Low","High",2025-12-23 10:46:44.031102,"Water Bottle","720° DGREE noLimit Bottle",6,5,5.5,6,5.8,2.90909090909091,5,5.75,3,4.54545454545455,29332,17,1725.41176470588,1878,1376.9775351664,29.332,1.72541176470588,1.878,1.3769775351664,789,23,31914,31.914,0.720686845898352,1.60622588996717,41.415801483862,64.2466379136334,0,1.29332427171902,4.68508813160751,788
"10bcc14f-7fd9-4646-80bc-7eff4d2e1097","87927c15-49d0-4962-b182-ab5a768263a6",25,"Male","Master's Degree","Full-Time","LILL","Low","Low",2025-12-18 19:31:12.714337,"Water Bottle","Nalgene Water Bottle",2,5,2.5,5,4,2.09090909090909,6,4.75,4.25,4.90909090909091,6927,15,461.8,217,522.202369092399,6.927,0.4618,0.217,0.522202369092399,383,13,15612,15.612,0.832692800409941,1.55161444289605,25.5558619910682,37.2127228176603,0,1.67636177421497,4.24606006632381,382
"10e43c6b-430c-47be-8c7e-acfe0fe439b5","f4a35592-edb9-44d2-b455-a4c905170996",24,"Male","Master's Degree","Working-Student / Temporary","HILL","High","Low",2025-12-19 09:08:13.739759,"Smartwatch","Apple Watch Series 11",4,5,3.5,2.66666666666667,3,3.81818181818182,6.33333333333333,5.75,6,6,27442,10,2744.2,483.5,5095.11002607184,27.442,2.7442,0.4835,5.09511002607184,657,18,31428,31.428,0.572737686139748,2.37591576487125,25.802599921309,42.4559447124626,0,0.819357061753757,2.92509731368497,656
"125fe34e-d1f0-498a-8fd0-5d0cf21e030d","d6031e01-23c5-4d03-b64d-cc7b74e8f284",57,"Male","Master's Degree","Full-Time","LILL","Low","Low",2026-01-08 16:14:39.172204,"Water Bottle","24 Bottles - Clima Bottle",4,5,4,3.33333333333333,3.6,2.90909090909091,5,6,4,5,25496,17,1499.76470588235,809,1914.71239777061,25.496,1.49976470588235,0.809,1.91471239777061,1671,31,67072,67.072,0.462189885496183,1.6547487937486,62.6284797200864,73.1016504288719,0,0.958618881100726,4.47350455826681,1670
"15b9dd42-a1f4-43d2-a040-9bfa65d63082","203e8e3b-4902-498a-b76b-9cf4d5e7f4b7",26,"Male","Master's Degree","Full-Time","HIHL","High","High",2026-01-04 08:42:59.026059,"Speaker","Sonos Era 100",6,5,3.5,4.33333333333333,4,3.54545454545455,7,7,5.5,6.45454545454545,65023,14,4644.5,2881.5,4112.81428539557,65.023,4.6445,2.8815,4.11281428539557,2603,31,107025,107.025,0.28965195047886,1.96208297831347,43.8082312739749,45.9959796498185,0,0.412544100998519,2.09215986913949,2602
"1826a545-f6f3-47b9-a091-81477ba89250","d7e74b75-65e8-4b6b-8587-86fa638e2473",24,"Male","Bachelor's Degree","Working-Student / Temporary","LILL","Low","Low",2025-12-02 14:17:33.718725,"Water Bottle","Waterdrop All-Purpose Sport Bottle",6,5,5.5,5.33333333333333,5.4,3.36363636363636,6.66666666666667,6,7,6.54545454545455,48314,18,2684.11111111111,894,5498.61358877788,48.314,2.68411111111111,0.894,5.49861358877788,1264,17,50633,50.633,0.335749412438528,3.15448554149283,29.3516909305535,76.8552582821994,0,0.608167137968847,3.31258586918584,1263
