participant_id,n_direction_changes
01caf55c-3693-4aa3-bac2-862230173a5e,18
01f97700-9c92-4464-9bf8-21132acaa881,10
05bcca80-e838-4ef3-8ba8-39e870310e8f,1
09836b97-00f6-47f3-b9aa-c34ad5867121,17
0c8e7770-1c3e-40d4-af3e-561d63ec9aa3,11
10bcc14f-7fd9-4646-80bc-7eff4d2e1097,4
10e43c6b-430c-47be-8c7e-acfe0fe439b5,5
125fe34e-d1f0-498a-8fd0-5d0cf21e030d,13
15b9dd42-a1f4-43d2-a040-9bfa65d63082,7
1826a545-f6f3-47b9-a091-81477ba89250,2
21e9b22a-8b1c-4ce7-ab1e-b805e86aaf46,1
23242b4f-c591-42a9-98cd-e26b42ba18ad,17
241ca21f-0214-47fa-933c-b2c656f1819d,17
2a36f61f-3be1-4127-b878-3cc2adc0be75,0
2a788a65-9288-433d-8ecb-788fe69b57cd,14
2b5fd31a-dc2d-4c05-95ff-75759c2649bf,2
2c25fe81-e77f-42e9-a479-03b5afe3458f,7
2dc94996-ea7a-44cc-be3b-0bbd7ec42803,3
2f307df5-73a6-4ad9-95a1-c6498d36592c,0
302cd5a0-6497-4343-9fd1-2ec4452aa871,8
323f6fc6-61e4-4046-aef4-847a1bec0563,6
35e66184-3e42-45f7-bf6a-5d675bcac6da,7
3f225600-a051-470e-933a-a9a60cdc22da,16
40dd8dc8-0dfe-4644-a0e4-28121e4e7b42,17
41d30187-dfd3-43cd-8504-1e8c11db983d,0
43cddaa8-35f1-4dc3-bcdf-fd80d1b7c5a8,13
44c59528-60b4-4714-bbce-2bf537e97e56,17
458e3744-4439-4fdc-826c-5dc2212959b0,1
48c12875-5184-434e-9495-d52cad451850,1
4a16ecf4-0324-4baf-a38f-1ea98ce73fc3,0
4aa8ea4c-b876-4599-a707-1bad68e2ac47,10
4b7264c1-03ae-4401-ae7b-3d5418e244fa,5
4b735901-9e3e-43de-8dd8-54e74dcf0910,6
4b8b5d28-8ca9-4b2d-be09-796cd60ff22f,1
50af3813-4730-4b8e-b200-16ba76811d68,3
50cb55ec-c55f-4275-b3f8-a119e6ae6ef1,12
51381787-c3a4-4a69-a44d-0750124ee2ad,24
51c72b18-d63d-4293-a20a-58955ea921f9,2
51eeb71d-7fb3-47dc-ae2a-00e20701fa68,0
5dea9317-cab2-4546-bc93-eb063052932c,0
5e38168c-c307-4cd5-a939-b94dca4a69e1,21
65b68a45-2b10-49f3-8a4a-8315ef68f969,4
676840dc-d964-41e5-ad5b-dba3ca8f0208,0
68ec06a0-df0b-4061-bbee-6731a0867c41,8
6b42fb53-9d79-42ea-b1a9-1432d91cc505,6
6c31c25e-c5dd-41fb-b6c9-87bea11b8a8f,2
6fde05fb-ad92-4919-a93f-50f610305a99,2
702af4cc-906d-40b9-aa8d-8e99be992bde,8
708db045-62f6-4722-b354-0cd16fac4d4a,1
72068e71-91db-442d-8bcd-be58091a7210,6
733a2e49-2496-4e7a-8429-aa233d6038e0,2
76df77f4-c446-4c7b-a4ea-93a0a4804064,1
7d4a763e-d896-4860-93a1-bad23bde6d35,5
7e12c6e6-3302-459e-8b4e-6dc42fbc6bea,4
81fe54b8-48d6-4929-970f-a999e75bb7f1,0
82b8fe9e-d03d-4a52-9b6c-867b927e02e1,15
8aef2386-7368-499e-a2c5-f4b5da726020,6
8e0c9b01-b81c-43c8-bb2f-35742dc5b516,10
97f16cb2-4702-4c1b-9ff8-ec0646a97f40,4
98102009-4760-4c36-822a-0e48ece5d5fb,6
9aeb0915-3140-4f9c-bc4b-6c5e899eb9da,9
9daba0c2-5e80-465c-bbbd-f824d9c24657,3
a283fcdf-6ba2-4329-8b8a-9bf558c8231a,9
a39dd60a-d5b3-4715-b83c-30600cad5cf3,5
a3b479f6-0430-44be-a23b-b1e580e826e0,1
a586e2c1-54e8-45ba-963f-6cd8077f1e79,3
a784408d-72a4-47b5-9e2f-6dac761f9ffd,2
a8557488-eb49-4d5f-ae1c-b72363c44416,11
a941ce89-6cf0-4690-830f-cd35b97730fc,0
aa394ce7-db73-4ab9-9735-eece7d619911,3
ab15ea54-ae59-4532-b89c-ff821a0116c0,3
aee0f8a7-c99c-42ae-94c4-d8ec1569987d,9
b73a72b8-9607-4085-9706-7f0f9b926843,27
b9c7d764-2da0-4564-b4d7-914e99573ad0,12
bad1870e-b99a-4d8e-b4ab-bf544d71d0ec,14
bc0021f5-8e05-402d-9ce3-a9a63f51f658,16
ca453e48-2aa7-4fdb-9e93-8837f7729333,5
d54c2d38-a344-4acc-a58f-98900e4f3d25,0
da1fc0bd-2274-48c6-935d-bd4303dfc0a7,3
dab3e35d-a740-4109-9515-556e82ceb612,1
ded60c6e-ad75-4508-afdf-8caa0efe3410,8
e0706a41-3231-4374-a546-2d56f686f34c,3
e2de2353-af57-4348-aa6b-a0e7cfb609d1,20
e3a761b1-e739-49a7-bd95-cf33e2a3813c,5
e4410d18-7cd2-4198-9c4a-67901559288f,4
e4bdced0-2d54-4933-84d0-f3f80c285a06,1
e61b4eb5-dbda-48c1-b18a-899e7395c612,3
e8d06654-451d-4d8f-b3f7-dd47d9317828,13
ea3dc494-f4e6-48c2-813c-6de68d7a45e8,15
eb870660-81e6-42e1-be24-2ca77d82d4ce,4
ec43a56a-d5a9-42a4-98fa-46840df7e093,1
ed793ccf-cf9c-4b54-9951-a243e876cc49,4
f5a43f10-de46-4cf5-bce3-9df18286d3d4,49
f5b5e557-ecf7-4d49-a4b3-1c2cde77ea6f,11
f709f384-1ebc-4302-978c-d19289570ee9,6
f8350255-0cb7-49ec-a1ed-f6d608da537a,11
f848edac-87b3-458d-8ccc-7759502a11c9,5
f97814c0-fdd1-4911-ae4f-aa1459d6fa5b,8
fc278ad6-5094-4033-8af8-1a9f63a49278,4
fe672941-07cb-4dcc-9668-f50d2d067848,7
