participant_id,paas,updated_at,NRQ_ECL1,NRQ_ECL2,NRQ_ECL3,PIES1,PIES2,PIES3,PIES4,PIES5,PIES6,PIES7,PIES8,PIES9,PIES10,PIES11,ECM_PU1,ECM_PU2,ECM_PU3,ECM_PU4,ECM_S1,ECM_S2,ECM_S3,ECM_S4,ECM_CI1,ECM_CI2,ECM_CI3,PIES_AC,NRQ_ICL1,NRQ_ICL2
01caf55c-3693-4aa3-bac2-862230173a5e,2,2026-01-04 15:10:24.656427+00,2,5,2,1,4,4,5,5,4,5,3,3,3,1,4,4,4,4,4,4,4,4,3,3,5,5,2,1
01f97700-9c92-4464-9bf8-21132acaa881,4,2025-12-30 13:42:47.349575+00,1,6,6,1,5,4,4,5,5,5,1,1,1,1,6,2,7,7,7,7,7,7,7,7,1,5,3,1
05bcca80-e838-4ef3-8ba8-39e870310e8f,2,2025-12-30 19:31:16.15095+00,1,4,1,5,1,2,5,2,4,2,5,4,3,2,7,7,7,7,7,7,7,7,7,7,1,5,2,2
09836b97-00f6-47f3-b9aa-c34ad5867121,6,2025-12-12 10:13:32.488612+00,5,5,6,2,3,3,4,2,5,2,4,4,3,2,3,3,2,5,5,4,7,5,6,6,2,5,3,1
0c8e7770-1c3e-40d4-af3e-561d63ec9aa3,6,2025-12-23 10:49:12.79724+00,6,6,6,2,4,3,2,3,4,4,2,2,2,2,2,2,2,6,6,6,6,5,4,6,3,5,6,5
10bcc14f-7fd9-4646-80bc-7eff4d2e1097,2,2025-12-18 19:35:42.193393+00,5,5,5,1,5,5,1,1,4,2,1,3,2,2,5,3,3,6,5,5,5,4,6,6,2,5,3,2
10e43c6b-430c-47be-8c7e-acfe0fe439b5,4,2025-12-19 09:10:26.446407+00,2,4,2,3,4,2,4,5,5,4,4,2,2,3,6,6,6,6,6,6,6,5,7,6,2,5,3,4
15b9dd42-a1f4-43d2-a040-9bfa65d63082,6,2026-01-04 08:46:43.890578+00,2,7,4,5,1,2,5,3,5,4,1,1,1,1,6,5,4,7,7,7,7,7,7,7,1,5,5,2
1826a545-f6f3-47b9-a091-81477ba89250,6,2025-12-02 14:19:02.079126+00,5,6,5,3,4,4,4,4,4,4,2,2,2,4,7,7,7,7,6,6,6,6,7,7,2,5,6,5
21e9b22a-8b1c-4ce7-ab1e-b805e86aaf46,2,2025-12-04 14:26:36.417396+00,4,3,5,2,1,1,5,5,5,4,4,2,2,3,6,5,5,7,6,6,6,6,6,6,3,5,3,1
23242b4f-c591-42a9-98cd-e26b42ba18ad,5,2025-12-02 16:02:42.668513+00,4,4,5,3,3,2,4,4,3,4,4,4,4,2,5,4,4,7,6,6,6,6,6,6,2,5,5,3
